global_step,train/success
400,0.0
432,1.0
800,0.0
832,0.0
1200,0.0
1232,0.0
1600,0.0
1620,1.0
2000,0.0
2020,0.0
2068,1.0
2400,0.0
2468,0.0
2800,0.0
2868,0.0
3200,0.0
3268,0.0
3600,0.0
3668,0.0
3940,1.0
4000,0.0
4340,0.0
4376,1.0
4400,0.0
4776,0.0
4800,0.0
5176,0.0
5200,0.0
5576,0.0
5600,0.0
5976,0.0
6000,0.0
6376,0.0
6400,0.0
6776,0.0
6800,0.0
7176,0.0
7200,0.0
7576,0.0
7600,0.0
7976,0.0
8000,0.0
8280,1.0
8304,1.0
8360,1.0
8400,0.0
8760,0.0
8800,0.0
8944,1.0
9200,0.0
9344,0.0
9576,1.0
9600,0.0
9648,1.0
10000,0.0
10048,0.0
10400,0.0
10448,0.0
10800,0.0
10848,0.0
11200,0.0
11248,0.0
11292,1.0
11600,0.0
11692,0.0
11892,1.0
12000,0.0
12292,1.0
12400,0.0
12692,0.0
12800,0.0
12996,1.0
13200,0.0
13396,0.0
13600,0.0
13796,0.0
14000,0.0
14196,0.0
14400,0.0
14596,0.0
14800,0.0
14996,0.0
15200,0.0
15396,0.0
15464,1.0
15576,1.0
15600,0.0
15632,1.0
16000,0.0
16032,0.0
16072,1.0
16400,0.0
16472,0.0
16800,0.0
16872,0.0
16952,1.0
17200,0.0
17352,0.0
17600,0.0
17752,0.0
17968,1.0
18000,0.0
18368,0.0
18400,0.0
18768,0.0
18800,0.0
19168,0.0
19200,0.0
19568,0.0
19600,0.0
19968,0.0
20000,0.0
20368,0.0
20400,0.0
20768,0.0
20800,0.0
21168,0.0
21200,0.0
21260,1.0
21600,0.0
21660,0.0
22000,0.0
22060,0.0
22400,0.0
22460,0.0
22628,1.0
22800,0.0
23028,0.0
23200,0.0
23428,0.0
23600,0.0
23828,0.0
24000,0.0
24088,1.0
24400,0.0
24488,0.0
24800,0.0
24888,0.0
25064,1.0
25200,0.0
25464,0.0
25600,0.0
25864,0.0
26000,0.0
26264,0.0
26400,0.0
26664,0.0
26800,0.0
27064,0.0
27200,0.0
27464,0.0
27600,0.0
27632,1.0
